record_id,title,author,date,subject,lcsh,resource_type,data_sources,language,origin,link,summary,download,format,objectid,filename
YA1943 R2,"""A Report of Failure and a Call to Action"", 1943 October 6",,10/6/1943 0:00,report,Reports; Reports and Memoirs; Reports and Studies; Reports and Working Papers,text,Archive,English,Yale Archive ,https://archives.yale.edu/repositories/12/archival_objects/1986005,,no,record,154d19c6-e285-4f58-ae2e-47ee4000c6d8,https://archives.yale.edu/repositories/12/archival_objects/1986005
BQL1920-1921 R3,P 290/1921 Recruitment in Palestine of proposed Spanish Legion for service in Morocco.,,1920-1921,Palestine; service,Palestine; Israel; Gaza Strip; Palestine--Aerial Views; Palestine--Agriculture; Palestine--Boundaries; Palestine--Church History; Palestine--Civilization; Palestine--Colonization; Palestine--Defenses; Palestine--Emigration and Immigration; Palestine--Geography; Palestine--History; Palestine in Christianity; Palestine--in Islam; Palestine--in Judaism; Palestine--maps; Palestine--Newspapers; Palestine Police; Palestine--Social Life and Customs; service,text,Archive,English,British Qatar Library 1900-1930,"https://searcharchives-beta.bl.uk/primo-explore/fulldisplay?docid=IAMS041-000553309&context=L&vid=BLNUI&lang=en_US&search_scope=LSCOP_BL&adaptor=Local%20Search%20Engine&tab=local&query=any,contains,Palestine&facet=searchcreationdate,include,1900%7C,%7C1930&offset=240",Physical Access Only ,no,record,e1c03243-f994-4884-887c-e754553c49e6,"https://searcharchives-beta.bl.uk/primo-explore/fulldisplay?docid=IAMS041-000553309&context=L&vid=BLNUI&lang=en_US&search_scope=LSCOP_BL&adaptor=Local%20Search%20Engine&tab=local&query=any,contains,Palestine&facet=searchcreationdate,include,1900%7C,%7C1930&offset=240"
BQL1920 R4,"P 8022/1920 Request by French General Staff with the Egyptian Expeditionary Force for handbooks on Syria, Palestine, Mesopotamia and Arabia.",,1920,forces; Palestine,Palestine; Israel; Gaza Strip; Palestine--Aerial Views; Palestine--Agriculture; Palestine--Boundaries; Palestine--Church History; Palestine--Civilization; Palestine--Colonization; Palestine--Defenses; Palestine--Emigration and Immigration; Palestine--Geography; Palestine--History; Palestine in Christianity; Palestine--in Islam; Palestine--in Judaism; Palestine--maps; Palestine--Newspapers; Palestine Police; Palestine--Social Life and Customs; police forces; police; military,text,Archive,English,British Qatar Library 1900-1930,"https://searcharchives-beta.bl.uk/primo-explore/fulldisplay?docid=IAMS041-000552646&context=L&vid=BLNUI&lang=en_US&search_scope=LSCOP_BL&adaptor=Local%20Search%20Engine&tab=local&query=any,contains,Palestine&facet=searchcreationdate,include,1900%7C,%7C1930&offset=290",Physical Access Only ,no,record,824843a3-ce41-4cd3-80e2-80450e214ea0,"https://searcharchives-beta.bl.uk/primo-explore/fulldisplay?docid=IAMS041-000552646&context=L&vid=BLNUI&lang=en_US&search_scope=LSCOP_BL&adaptor=Local%20Search%20Engine&tab=local&query=any,contains,Palestine&facet=searchcreationdate,include,1900%7C,%7C1930&offset=290"
BNAG1925 R5,"Folios 12-13: The refusal of students of the Mens' Training College, Jerusalem, to attend classes...Held by:  The National Archives, Kew - Colonial Office, Commonwealth and Foreign and Commonwealth Offices CO 733/91/3 24 March 1925",,3/1/1925 0:00,"strike; students; education; Kerusalem, Balfour (Lord); Samuel, Herbert (Commissioner); college",Education; ___ Education; Teaching; Students; Schools; School Facilities; Education--Palestine; strikes; ____ strikes; Jerusalem--1900-1950; Jerusalem--1910-1920; Jerusalem--1910-1930; Jerusalem--1920-1940; Jerusalem--1930-1940; Jerusalem--aerial views; Jerusalem (Palestine); Jerusalem--politics and government; Jerusalem post; Palestine post; Jerusalem post press; students; ___ students; education; dropouts; military cadets; students--1900-1930; students--1930-1950; students--israel; students--Palestine; college; colleges; universities and colleges; colleges and universities,text,Archive,English ,British National A. General,https://discovery.nationalarchives.gov.uk/details/r/C17232414,"The refusal of students of the Mens' Training College, Jerusalem, to attend classes during a general strike during Lord Balfour's visit. Sent by Sir Herbert Samuel, High Commissioner, 23 March 1925.\",no,record,4395deb3-b4c8-4062-aa62-569e480d910c,https://discovery.nationalarchives.gov.uk/details/r/C17232414
TK1934 R6,The Revised Publication of Laws Ordinance,,1934,law; ordinance,Ordinances; Municipal Ordinances; City Ordinances; County Ordinances; Model Ordinances; law; legislation; ___ law; justice; courts; jurisdiction; law and society; law,text,Archive,Hebrew ,The Knesset,,No doc available ,no,record,d2891af7-5ff7-4b5e-b907-e3bbe82cf403,
TK1936  R7,The Russian Property Management (Amendment) Ordinance,,1936,property; amendment; ordinance,Ordinances; Municipal Ordinances; City Ordinances; County Ordinances; Model Ordinances; property; wealth; possession (law); ___ property; income; property--gaza strip; constitutional amendment; statutes and codes,text,Archive,Hebrew,The Knesset,https://fs.knesset.gov.il//0/law/0_lsr_563950.PDF,From the Mandatory Official Gazette-- In Hebrew,no,record,4ce3b897-cd28-4189-94be-04901f81c176,https://fs.knesset.gov.il//0/law/0_lsr_563950.PDF
TK1937 R8,The Revised Publication of Laws (Amendments) Ordinance,,1937,law; amendment; ordinance,Ordinances; Municipal Ordinances; City Ordinances; County Ordinances; Model Ordinances; law; legislation; ___ law; justice; courts; jurisdiction; law and society; law; constitutional amendment; statutes and codes,text,Archive,Hebrew,The Knesset,https://fs.knesset.gov.il//0/law/0_lsr_561094.PDF,From the Mandatory Official Gazette-- In Hebrew,no,record,905920f1-9f40-4421-b2cf-71e9b3d98050,https://fs.knesset.gov.il//0/law/0_lsr_561094.PDF
TK1938 R9,The Russian Property Management (Amendment) Ordinance,,1938,property; amendment; ordinance,Ordinances; Municipal Ordinances; City Ordinances; County Ordinances; Model Ordinances; property; wealth; possession (law); ___ property; income; property--gaza strip; constitutional amendment; statutes and codes,text,Archive,Hebrew,The Knesset,https://fs.knesset.gov.il//0/law/0_lsr_561325.PDF,From the Mandatory Official Gazette-- In Hebrew,no,record,d436c629-d31b-4026-b7c4-c424a3536ef7,https://fs.knesset.gov.il//0/law/0_lsr_561325.PDF
TK1939 R10,The Railways (Amendment) Ordinance,,1939,railway; amendment; ordinance,Ordinances; Municipal Ordinances; City Ordinances; County Ordinances; Model Ordinances; railways; railroads; ___ railroads; railroads rails; rails; constitutional amendment; statutes and codes,text,Archive,Hebrew,The Knesset,https://fs.knesset.gov.il//0/law/0_lsr_561390.PDF,From the Mandatory Official Gazette-- In Hebrew,no,record,da92a276-6abe-49b7-bbd6-4d63ba7ca947,https://fs.knesset.gov.il//0/law/0_lsr_561390.PDF
TK1939 R11,The Road Teachers Ordinance (Amendment),,1939,road; teacher; ordinance; amendment,Ordinances; Municipal Ordinances; City Ordinances; County Ordinances; Model Ordinances; roads; ____ roads; trails; pavement; streets; rural roads; post roads; teachers; ____ teachers; teachers and community; teachers--Arab countries; constitutional amendment; statutes and codes,text,Archive,Hebrew,The Knesset,https://fs.knesset.gov.il//0/law/0_lsr_561529.PDF,From the Mandatory Official Gazette-- In Hebrew,no,record,b439be13-6e58-47f4-86f9-f36f0530e6a4,https://fs.knesset.gov.il//0/law/0_lsr_561529.PDF
